"_id","_labels","body","name","phrase","pr0","pr1","pr2","pr3","processed","salience","url","_start","_end","_type","common","rank","score","weight"
"34",":Noun","","定点観察データ","","6.643969851529888E-6","8.566036390739084E-6","1.3299246803553952E-5","6.319169866917637E-6","","","",,,,,,,
"35",":Noun","","素材・カラー","","6.294287227765158E-6","8.115192370173869E-6","1.2599286445472165E-5","5.9865819791851304E-6","","","",,,,,,,
"36",":Noun","","Clerkenwell Design Week 2023","","5.944604604000426E-6","7.664348349608655E-6","1.1899326087390379E-5","5.653994091452623E-6","","","",,,,,,,
"37",":Noun","","世界最大級","","5.5949219802356955E-6","7.2135043290434405E-6","1.119936572930859E-5","5.321406203720115E-6","","","",,,,,,,
"38",":Noun","","Microsoft Teams ライブイベント","","5.245239356470964E-6","6.762660308478225E-6","1.0499405371226806E-5","4.988818315987608E-6","","","",,,,,,,
"39",":Noun","","取材","","4.545874108941502E-6","5.860972267347795E-6","9.099484655063229E-6","4.323642540522594E-6","","","",,,,,,,
"40",":Noun","","成果","","3.84650886141204E-6","4.959284226217365E-6","7.699563938899658E-6","3.6584667650575794E-6","","","",,,,,,,
"41",":Noun","","デザイン性","","3.49682623764731E-6","4.50844020565215E-6","6.99960358081787E-6","3.3258788773250727E-6","","","",,,,,,,
"42",":Noun","","インスタレーション","","3.147143613882579E-6","4.057596185086934E-6","6.299643222736083E-6","2.9932909895925652E-6","","","",,,,,,,
"43",":Noun","","コーディネート","","2.7974609901178477E-6","3.6067521645217202E-6","5.599682864654295E-6","2.6607031018600577E-6","","","",,,,,,,
"44",":Noun","","視点","","2.4477783663531164E-6","3.155908143956505E-6","4.899722506572509E-6","2.3281152141275506E-6","","","",,,,,,,
"45",":Noun","","出展イメージ","","2.098095742588386E-6","2.7050641233912895E-6","4.199762148490722E-6","1.9955273263950435E-6","","","",,,,,,,
"46",":Noun","","ロンドン","","1.748413118823655E-6","2.254220102826075E-6","3.499801790408935E-6","1.6629394386625364E-6","","","",,,,,,,
"47",":Noun","","コラム","","6.993652475294619E-7","9.016880411304301E-7","1.3999207161635738E-6","6.651757754650144E-7","","","",,,,,,,
"48",":Noun","","Metaverse Japan Summit 2023","","3.6762696105669734E-5","4.375563893637096E-5","5.094176349647582E-5","3.102629924726827E-5","","","",,,,,,,
"49",":Noun","","共感","","3.419785684248347E-5","4.0702919940810186E-5","4.738768697346587E-5","2.8861673718389088E-5","","","",,,,,,,
"50",":Noun","","イベント参加","","2.8213231895048864E-5","3.3579908951168406E-5","3.909484175310935E-5","2.3810880817670992E-5","","","",,,,,,,
"51",":Noun","","サービス XR DX メタバース 教育 大日本印刷株式会社","","2.7358285473986784E-5","3.256233595264815E-5","3.79101495787727E-5","2.3089338974711268E-5","","","",,,,,,,
"52",":Noun","","公開 ニュースリリース 製品","","2.650333905292469E-5","3.1544762954127896E-5","3.6725457404436055E-5","2.2367797131751545E-5","","","",,,,,,,
"53",":Noun","","ロケーションシステム","","3.488074434337642E-5","5.51916505644488E-5","4.949738286887932E-5","3.0255895966166806E-5","","","",,,,,,,
"54",":Noun","","パラレルサイト","","6.245210537127206E-5","9.480797980485756E-5","8.47068331221816E-5","5.1664839269816274E-5","","","",,,,,,,
"55",":Noun","","概要","","1.6243982000179652E-5","1.933388697188484E-5","2.250915131239629E-5","1.3709295016234817E-5","","","",,,,,,,
"56",":Noun","","ショールーミング型","","1.0259357052745043E-5","1.2210875982243057E-5","1.4216306092039762E-5","8.658502115516726E-6","","","",,,,,,,
"57",":Noun","","防災教育","","9.404410631682955E-6","1.1193302983722802E-5","1.3031613917703118E-5","7.936960272556999E-6","","","",,,,,,,
"58",":Noun","","研修","","8.549464210620868E-6","1.0175729985202546E-5","1.1846921743366468E-5","7.215418429597272E-6","","","",,,,,,,
"59",":Noun","","シナリオ体験","","4.274732105310434E-6","5.087864992601273E-6","5.923460871683234E-6","3.607709214798636E-6","","","",,,,,,,
"60",":Noun","","要素","","2.5648392631862606E-6","3.052718995560764E-6","3.5540765230099404E-6","2.1646255288791815E-6","","","",,,,,,,
"61",":Noun","","ゲーミフィケーション","","1.709892842124174E-6","2.0351459970405095E-6","2.369384348673294E-6","1.4430836859194543E-6","","","",,,,,,,
"62",":Noun","","CACAO STYLE ROOM","","2.94415622121885E-5","2.6632915300664558E-5","4.507780676567989E-5","1.9620862662973314E-5","","","",,,,,,,
"63",":Noun","","カカオハスク","","2.826389972370096E-5","2.5567598688637976E-5","4.327469449505271E-5","1.8836028156454382E-5","","","",,,,,,,
"64",":Noun","","カカオ.","","2.7675068479457187E-5","2.5034940382624683E-5","4.23731383597391E-5","1.8443610903194916E-5","","","",,,,,,,
"65",":Noun","","リサイクルボード","","2.708623723521342E-5","2.4502282076611394E-5","4.1471582224425515E-5","1.805119364993545E-5","","","",,,,,,,
"66",":Noun","","カカオハスクボード","","2.6497405990969647E-5","2.39696237705981E-5","4.0570026089111916E-5","1.765877639667598E-5","","","",,,,,,,
"67",":Noun","","カカオ豆","","2.5908574746725873E-5","2.343696546458481E-5","3.966846995379832E-5","1.726635914341652E-5","","","",,,,,,,
"68",":Noun","","明治","","2.5319743502482108E-5","2.290430715857152E-5","3.8766913818484724E-5","1.6873941890157048E-5","","","",,,,,,,
"69",":Noun","","株式会社 明治","","2.4730912258238333E-5","2.2371648852558227E-5","3.786535768317112E-5","1.6481524636897585E-5","","","",,,,,,,
"70",":Noun","","表現 株式会社 明治","","2.4142081013994565E-5","2.1838990546544934E-5","3.6963801547857525E-5","1.608910738363812E-5","","","",,,,,,,
"71",":Noun","","提供 製品","","4.041221799894121E-5","4.0841875569289025E-5","1.0539595619808718E-4","2.917283930776861E-5","","","",,,,,,,
"72",":Noun","","セールスプロモーション 環境 コラボレーション デザイン 大日本印刷株式会社","","2.2375587281263257E-5","2.0241015628505063E-5","3.425913314191673E-5","1.4911855623859717E-5","","","",,,,,,,
"73",":Noun","","種皮","","2.119792479277572E-5","1.9175699016478485E-5","3.2456020871289535E-5","1.4127021117340788E-5","","","",,,,,,,
"74",":Noun","","テーブル","","1.8842599815800636E-5","1.7045065792425314E-5","2.8849796330035138E-5","1.2557352104302922E-5","","","",,,,,,,
"75",":Noun","","棚","","1.76649373273131E-5","1.5979749180398735E-5","2.7046684059407946E-5","1.177251759778399E-5","","","",,,,,,,
"76",":Noun","","アップサイクル","","1.6487274838825557E-5","1.4914432568372152E-5","2.5243571788780744E-5","1.0987683091265056E-5","","","",,,,,,,
"77",":Noun","","内装材","","1.2954287373362936E-5","1.1718482732292404E-5","1.983423497689916E-5","8.63317957170826E-6","","","",,,,,,,
"78",":Noun","","ショールーム","","1.2365456129119167E-5","1.1185824426279113E-5","1.893267884158556E-5","8.240762318448793E-6","","","",,,,,,,
"79",":Noun","","リサイクル材","","1.001013115214409E-5","9.055191202225948E-6","1.5326454300331168E-5","6.671093305410928E-6","","","",,,,,,,
"80",":Noun","","強度","","7.06597493092524E-6","6.391899672159494E-6","1.0818673623763177E-5","4.7090070391135955E-6","","","",,,,,,,
"81",":Noun","","/dnp-plaza.jp/co-creation/rmd/index.html ・紙カップ","","6.477143686681468E-6","5.859241366146202E-6","9.91711748844958E-6","4.31658978585413E-6","","","",,,,,,,
"82",":Noun","","Webページ","","5.888312442437699E-6","5.326583060132911E-6","9.01556135313598E-6","3.924172532594663E-6","","","",,,,,,,
"83",":Noun","","fabula株式会社","","4.710649953950159E-6","4.2612664481063285E-6","7.2124490825087845E-6","3.1393380260757305E-6","","","",,,,,,,
"84",":Noun","","ベッド","","3.53298746546262E-6","3.195949836079747E-6","5.409336811881588E-6","2.3545035195567978E-6","","","",,,,,,,
"85",":Noun","","イス","","2.9441562212188496E-6","2.6632915300664556E-6","4.50778067656799E-6","1.9620862662973316E-6","","","",,,,,,,
"86",":Noun","","チョコレート","","1.76649373273131E-6","1.5979749180398735E-6","2.704668405940794E-6","1.1772517597783989E-6","","","",,,,,,,
"87",":Noun","","廃材","","5.888312442437699E-7","5.326583060132911E-7","9.015561353135981E-7","3.924172532594663E-7","","","",,,,,,,
"88",":Noun","","ARCHIDEX 2023","","3.414909650759686E-5","1.225422001495364E-4","3.340791833043153E-5","2.14960076150778E-5","","","",,,,,,,
"89",":Noun","","アジア","","5.417272435434645E-5","1.4942367315006722E-4","6.395147986122648E-5","1.0268560045758766E-4","","","",,,,,,,
"90",":Noun","","アートテック","","3.27552558338174E-5","1.175404776944533E-4","3.2044329827148605E-5","2.061861954915626E-5","","","",,,,,,,
"91",":Noun","","建築関連展示会","","3.205833549692767E-5","1.1503961646691175E-4","3.136253557550715E-5","2.0179925516195486E-5","","","",,,,,,,
"92",":Noun","","外装アルミパネル","","3.06644948231482E-5","1.1003789401182861E-4","2.999894707222423E-5","1.930253745027394E-5","","","",,,,,,,
"93",":Noun","","外装焼","","2.9270654149368743E-5","1.0503617155674552E-4","2.863535856894131E-5","1.84251493843524E-5","","","",,,,,,,
"94",":Noun","","加工性","","2.8573733812479E-5","1.0253531032920395E-4","2.7953564317299848E-5","1.7986455351391627E-5","","","",,,,,,,
"95",":Noun","","マレーシア","","2.7179893138699542E-5","9.753358787412082E-5","2.6589975814016927E-5","1.7109067285470085E-5","","","",,,,,,,
"96",":Noun","","シンガポール","","2.648297280180981E-5","9.503272664657927E-5","2.5908181562375472E-5","1.6670373252509312E-5","","","",,,,,,,
"97",":Noun","","耐食性","","2.5089132128030346E-5","9.003100419149616E-5","2.454459305909255E-5","1.579298518658777E-5","","","",,,,,,,
"98",":Noun","","DNP Singapore Pte","","2.4392211791140614E-5","8.753014296395458E-5","2.3862798807451093E-5","1.5354291153627E-5","","","",,,,,,,
"99",":Noun","","国内外","","1.1850342160024511E-4","1.6920512697248037E-4","1.4865059893085048E-4","8.061199539550856E-5","","","",,,,,,,
"100",":Noun","","アートテック®","","2.2301450780471424E-5","8.00275592813299E-5","2.181741605252671E-5","1.4038209054744683E-5","","","",,,,,,,
"101",":Noun","","Ltd.","","2.1604530443581686E-5","7.752669805378836E-5","2.1135621800885256E-5","1.3599515021783912E-5","","","",,,,,,,
"102",":Noun","","建築家","","2.8230592161207577E-5","8.102187394421076E-5","2.9467551532700543E-5","1.715471374632599E-5","","","",,,,,,,
"103",":Noun","","クアラルンプール","","2.0210689769802224E-5","7.252497559870523E-5","1.9772033297602332E-5","1.2722126955862372E-5","","","",,,,,,,
"104",":Noun","","印刷アルミパネル","","1.8816849096022758E-5","6.752325314362211E-5","1.8408444794319416E-5","1.1844738889940827E-5","","","",,,,,,,
"105",":Noun","","施工実績","","1.6726088085353565E-5","6.002066946099743E-5","1.6363062039395033E-5","1.0528656791058512E-5","","","",,,,,,,
"106",":Noun","","デザイナー","","2.11906330551866E-5","5.981577670028548E-5","2.221045272287752E-5","1.2846382931139247E-5","","","",,,,,,,
"107",":Noun","","アルミ","","1.4635327074684371E-5","5.251808577837276E-5","1.4317679284470655E-5","9.2125746921762E-6","","","",,,,,,,
"108",":Noun","","建築","","5.8376346172376054E-5","1.0360422556425112E-4","6.844840114392528E-5","4.199166410470215E-5","","","",,,,,,,
"109",":Noun","","外装材","","4.69625817202386E-5","7.319687655017868E-5","5.4636799251793014E-5","2.6667788553557278E-5","","","",,,,,,,
"110",":Noun","","生活空間関連","","2.9422802657962933E-5","5.690512995132002E-5","3.322343983820102E-5","1.7043141178339953E-5","","","",,,,,,,
"111",":Noun","","総合印刷会社","","6.272283032007586E-6","2.250775104787404E-5","6.136148264773137E-6","3.9482462966469426E-6","","","",,,,,,,
"112",":Noun","","建築資材","","4.181522021338391E-6","1.5005167365249358E-5","4.090765509848758E-6","2.632164197764628E-6","","","",,,,,,,
"113",":Noun","","住宅設備","","2.787681347558928E-6","1.0003444910166238E-5","2.727177006565839E-6","1.7547761318430854E-6","","","",,,,,,,
"114",":Noun","","専門性","","2.0907610106691956E-6","7.502583682624679E-6","2.045382754924379E-6","1.316082098882314E-6","","","",,,,,,,
"115",":Noun","","各国","","1.393840673779464E-6","5.001722455083119E-6","1.3635885032829195E-6","8.773880659215427E-7","","","",,,,,,,
"116",":Noun","","担当者","","6.96920336889732E-7","2.5008612275415595E-6","6.817942516414597E-7","4.3869403296077135E-7","","","",,,,,,,
"117",":Noun","","デカボスコア","","8.164250171029915E-5","5.297248858360938E-5","1.8144522778438388E-4","2.9275424715898867E-5","","","",,,,,,,
"118",":Noun","","Earth hacks","","7.64312781968758E-5","4.9591265908059847E-5","1.6986361750027433E-4","2.7406780585096816E-5","","","",,,,,,,
"119",":Noun","","関根澄人","","7.122005468345244E-5","4.621004323251031E-5","1.582820072161647E-4","2.5538136454294755E-5","","","",,,,,,,
"120",":Noun","","業務提携","","8.650584182385964E-5","6.717609389476575E-5","1.8057672559624422E-4","6.840100604586894E-5","","","",,,,,,,
"121",":Noun","","環境配慮商品","","6.600883117002909E-5","4.282882055696078E-5","1.467003969320551E-4","2.3669492323492703E-5","","","",,,,,,,
"122",":Noun","","業務提携 環境配慮パッケージ","","6.427175666555464E-5","4.170174633177759E-5","1.428398601706852E-4","2.3046610946558683E-5","","","",,,,,,,
"123",":Noun","","ライフサイエンス サステナビリティ 環境 環境 コラボレーション 大日本印刷株式会社","","6.253468216108021E-5","4.057467210659442E-5","1.3897932340931535E-4","2.2423729569624666E-5","","","",,,,,,,
"124",":Noun","","アクション","","5.55863841431824E-5","3.6066375205861704E-5","1.2353717636383584E-4","1.993220406188859E-5","","","",,,,,,,
"125",":Noun","","脱炭素アクション","","5.384930963870794E-5","3.493930098067852E-5","1.19676639602466E-4","1.9309322684954577E-5","","","",,,,,,,
"126",":Noun","","CO2削減率スコア","","5.21122351342335E-5","3.381222675549535E-5","1.158161028410961E-4","1.8686441308020553E-5","","","",,,,,,,
"127",":Noun","","促進 ニュースリリース 製品","","4.86380861252846E-5","3.1558078305128994E-5","1.0809502931835636E-4","1.7440678554152516E-5","","","",,,,,,,
"128",":Noun","","パッケージ領域","","4.690101162081015E-5","3.0431004079945817E-5","1.0423449255698651E-4","1.6817797177218495E-5","","","",,,,,,,
"129",":Noun","","購入","","3.995271360291235E-5","2.59227071792131E-5","8.879234551150702E-5","1.4326271669482423E-5","","","",,,,,,,
"130",":Noun","","算定","","3.6767338287336485E-4","1.934230397730959E-4","0.0021983076477574514","6.587427403357528E-5","","","",,,,,,,
"131",":Noun","","スコア","","1.73707450447445E-5","1.1270742251831783E-5","3.860536761369869E-5","6.228813769340185E-6","","","",,,,,,,
"132",":Noun","","*1 Earth hacks株式会社","","1.38965960357956E-5","9.016593801465426E-6","3.088429409095896E-5","4.983051015472148E-6","","","",,,,,,,
"133",":Noun","","表示","","1.04224470268467E-5","6.762445351099069E-6","2.316322056821922E-5","3.737288261604111E-6","","","",,,,,,,
"134",":Noun","","動機づけ","","6.9482980178978E-6","4.508296900732713E-6","1.544214704547948E-5","2.491525507736074E-6","","","",,,,,,,
"135",":Noun","","CO2排出量削減率","","3.4741490089489E-6","2.2541484503663565E-6","7.72107352273974E-6","1.245762753868037E-6","","","",,,,,,,
"136",":Noun","","エンコーダディスク","","8.751691590602388E-5","4.956844893824988E-5","6.677263976127659E-5","3.308104419814808E-5","","","",,,,,,,
"137",":Noun","","エンコーダ","","8.573085639773767E-5","4.855684793951009E-5","6.540993282737301E-5","3.240592084716547E-5","","","",,,,,,,
"138",":Noun","","ディスク","","8.215873738116525E-5","4.653364594203049E-5","6.26845189595658E-5","3.105567414520025E-5","","","",,,,,,,
"139",":Noun","","透過型","","7.858661836459287E-5","4.451044394455091E-5","5.99591050917586E-5","2.9705427443235013E-5","","","",,,,,,,
"140",":Noun","","反射型","","7.680055885630666E-5","4.349884294581112E-5","5.859639815785498E-5","2.90303040922524E-5","","","",,,,,,,
"141",":Noun","","エンコーダディスク エンコーダディスク","","7.501449934802046E-5","4.248724194707133E-5","5.723369122395139E-5","2.8355180741269785E-5","","","",,,,,,,
"142",":Noun","","参入 反射強度","","6.965632082316184E-5","3.945243895085194E-5","5.314557042224057E-5","2.6329810688321952E-5","","","",,,,,,,
"143",":Noun","","電子部品","","6.251208279001703E-5","3.5406034955892774E-5","4.769474268662616E-5","2.3629317284391492E-5","","","",,,,,,,
"144",":Noun","","エンコーダディスク*1","","5.893996377344464E-5","3.338283295841318E-5","4.4969328818818944E-5","2.2279070582426264E-5","","","",,,,,,,
"145",":Noun","","金属反射型ディスク","","5.536784475687225E-5","3.13596309609336E-5","4.224391495101173E-5","2.0928823880461036E-5","","","",,,,,,,
"146",":Noun","","モビリティ DX 大日本印刷株式会社","","4.822360672372743E-5","2.7313226965974424E-5","3.679308721539732E-5","1.8228330476530577E-5","","","",,,,,,,
"147",":Noun","","移動方向","","4.6437547215441244E-5","2.6301625967234628E-5","3.543038028149372E-5","1.7553207125547965E-5","","","",,,,,,,
"148",":Noun","","工場","","1.107724569296592E-4","6.782151181851206E-5","1.2522836693623431E-4","5.8141834915282626E-5","","","",,,,,,,
"149",":Noun","","高反射材","","3.214907114915162E-5","1.8208817977316285E-5","2.452872481026488E-5","1.215222031768705E-5","","","",,,,,,,
"150",":Noun","","回転角度","","2.8576952132579223E-5","1.61856159798367E-5","2.1803310942457666E-5","1.0801973615721824E-5","","","",,,,,,,
"151",":Noun","","小型化","","2.5004833116006812E-5","1.4162413982357107E-5","1.907789707465046E-5","9.451726913756596E-6","","","",,,,,,,
"152",":Noun","","スリット","","2.3218773607720622E-5","1.3150812983617314E-5","1.771519014074686E-5","8.776603562773982E-6","","","",,,,,,,
"153",":Noun","","反射材","","1.9646654591148218E-5","1.1127610986137728E-5","1.498977627293965E-5","7.426356860808753E-6","","","",,,,,,,
"154",":Noun","","顧客企業","","4.619085463456256E-5","2.8652678846453486E-5","3.865943737345547E-5","2.1995626142285233E-5","","","",,,,,,,
"155",":Noun","","/www.dnp.co.jp/biz/solution","","8.2055528438374E-5","3.487261952292061E-5","7.817823320062062E-5","1.7390037589941144E-5","","","",,,,,,,
"156",":Noun","","products/detail","","7.587073607250125E-5","3.214313782189665E-5","7.24212682136845E-5","1.5960652410218686E-5","","","",,,,,,,
"157",":Noun","","ロータリーエンコーダ","","1.0716357049717209E-5","6.069605992438761E-6","8.176241603421627E-6","4.050740105895684E-6","","","",,,,,,,
"158",":Noun","","リニアエンコーダ","","8.930297541431005E-6","5.0580049936989685E-6","6.813534669518023E-6","3.37561675491307E-6","","","",,,,,,,
"159",":Noun","","反射強度","","7.144238033144806E-6","4.046403994959175E-6","5.450827735614416E-6","2.700493403930456E-6","","","",,,,,,,
"160",":Noun","","ディスプレイ製品","","5.3581785248586045E-6","3.0348029962193807E-6","4.088120801710813E-6","2.025370052947842E-6","","","",,,,,,,
"161",":Noun","","円板","","3.572119016572403E-6","2.0232019974795874E-6","2.725413867807208E-6","1.350246701965228E-6","","","",,,,,,,
"162",":Noun","","種類","","1.7860595082862014E-6","1.0116009987397937E-6","1.362706933903604E-6","6.75123350982614E-7","","","",,,,,,,
"163",":Noun","","未来の市谷","","3.43963055683979E-5","8.310518440004426E-5","6.29494174866662E-5","1.4522823125019278E-4","","","",,,,,,,
"164",":Noun","","市谷の未来をいっしょに考えよう展","","3.3694340148634675E-5","8.14091602286148E-5","6.166473549714241E-5","1.4226438979610722E-4","","","",,,,,,,
"165",":Noun","","声","","3.088647846958179E-5","7.46250635428969E-5","5.652600753904721E-5","1.3040902397976493E-4","","","",,,,,,,
"166",":Noun","","市谷地域","","2.8780582210292115E-5","6.953699102860848E-5","5.26719615704758E-5","1.2151749961750824E-4","","","",,,,,,,
"167",":Noun","","企画展 イベント コラボレーション 地域","","2.80786167905289E-5","6.7840966857179E-5","5.138727958095201E-5","1.1855365816342268E-4","","","",,,,,,,
"168",":Noun","","オープンイノベーション拠点","","2.6674685951002453E-5","6.444891851432005E-5","4.8817915601904404E-5","1.1262597525525153E-4","","","",,,,,,,
"169",":Noun","","開催 来場","","2.1058962592896672E-5","5.0880725142884244E-5","3.854045968571401E-5","8.891524362256702E-5","","","",,,,,,,
"170",":Noun","","創生・まちづくり DX モビリティ デザイン 大日本印刷株式会社","","1.8251100913843784E-5","4.4096628457166345E-5","3.34017317276188E-5","7.705987780622473E-5","","","",,,,,,,
"171",":Noun","","学ぶ人","","1.5443239234790894E-5","3.731253177144845E-5","2.8263003769523603E-5","6.520451198988246E-5","","","",,,,,,,
"172",":Noun","","観光・教育・モビリティ","","7.721619617395447E-6","1.8656265885724224E-5","1.4131501884761802E-5","3.260225599494123E-5","","","",,,,,,,
"173",":Noun","","20168817_1587.html 東京・市谷","","6.317688777869002E-6","1.5264217542865278E-5","1.15621379057142E-5","2.6674573086770102E-5","","","",,,,,,,
"174",":Noun","","移動手段","","4.913757938342558E-6","1.1872169200006325E-5","8.9927739266666E-6","2.0746890178598966E-5","","","",,,,,,,
"175",":Noun","","地域課題","","9.945491880620271E-5","1.1755327728305462E-4","7.937403783217834E-5","5.595547617238881E-5","","","",,,,,,,
"176",":Noun","","DNP IXマネジメントサービス","","2.3387857922707744E-5","2.8319162492462497E-5","3.694048945120845E-5","2.0385991168220533E-5","","","",,,,,,,
"177",":Noun","","IR活動","","2.1049072130436967E-5","2.548724624321625E-5","3.32464405060876E-5","1.834739205139848E-5","","","",,,,,,,
"178",":Noun","","ロイヤルティ","","2.058131497198281E-5","2.4920862993367006E-5","3.250763071706343E-5","1.793967222803407E-5","","","",,,,,,,
"179",":Noun","","株主体験","","1.96458006550745E-5","2.3788096493668504E-5","3.103001113901509E-5","1.7124232581305246E-5","","","",,,,,,,
"180",":Noun","","インベスターエクスペリエンス","","1.7307014862803725E-5","2.0956180244422256E-5","2.7335962193894244E-5","1.5085633464483194E-5","","","",,,,,,,
"181",":Noun","","開始 株主","","1.6839257704349572E-5","2.0389796994573003E-5","2.6597152404870082E-5","1.4677913641118783E-5","","","",,,,,,,
"182",":Noun","","サービス 企業コミュニケーション DX 大日本印刷株式会社","","1.637150054589542E-5","1.9823413744723757E-5","2.5858342615845914E-5","1.4270193817754371E-5","","","",,,,,,,
"183",":Noun","","提案 製品","","3.0880494147163335E-5","3.0998559721365085E-5","6.116489386531403E-5","2.2451263104744543E-5","","","",,,,,,,
"184",":Noun","","施策","","1.5435986228987108E-5","1.8690647245025248E-5","2.438072303779757E-5","1.345475417102555E-5","","","",,,,,,,
"185",":Noun","","Investor Relations","","1.4032714753624644E-5","1.6991497495477503E-5","2.216429367072507E-5","1.2231594700932319E-5","","","",,,,,,,
"186",":Noun","","DNP CXマネジメントサービス","","1.3097200436716336E-5","1.5858730995779004E-5","2.0686674092676726E-5","1.1416155054203498E-5","","","",,,,,,,
